altitude,t,p,rho,gamma
0.0,733.082,9545830.0,68.026,1.19476
7352.94,680.968,5899770.0,45.258,1.20075
14705.9,626.204,3506250.0,29.2468,1.20781
22058.8,570.714,1988280.0,18.1874,1.21597
29411.8,510.574,1063890.0,10.8821,1.22626
36764.7,447.514,525279.0,6.1275,1.23919
44117.6,394.45,235176.0,3.11116,1.25239
51470.6,343.816,95117.5,1.44362,1.26774
58823.5,276.688,32065.5,0.604686,1.29435
66176.5,251.46,9013.37,0.187128,1.30707
73529.4,225.78,2236.28,0.0517024,1.3222
80882.4,189.434,447.317,0.0123275,1.34887
88235.3,169.782,67.158,0.00206991,1.3669
95588.2,175.515,9.86305,0.000294076,1.36134
102941.0,183.668,1.65065,4.68815e-05,1.354
110294.0,161.738,0.239412,7.72189e-06,1.37561
117647.0,140.107,0.0276182,1.02042e-06,1.40275
125000.0,127.862,0.00258399,1.00205e-07,1.42427
132353.0,118.145,0.000241256,8.98542e-09,1.45125
139706.0,117.324,3.11935e-05,9.32103e-10,1.48743
147059.0,118.623,6.65204e-06,1.51571e-10,1.54005
154412.0,119.089,1.94472e-06,3.64934e-11,1.58819
161765.0,119.257,6.6676e-07,1.12535e-11,1.618
169118.0,119.333,2.50208e-07,3.89047e-12,1.63079
176471.0,119.367,1.03161e-07,1.44574e-12,1.62863
183824.0,119.382,4.88352e-08,5.86246e-13,1.61218
191176.0,119.388,2.72472e-08,2.61655e-13,1.58701
198529.0,119.39,1.81252e-08,1.34532e-13,1.56121
205882.0,119.392,1.31774e-08,7.05107e-14,1.53815
213235.0,119.392,1.11215e-08,5.10967e-14,1.52316
220588.0,119.391,9.38642e-09,3.47115e-14,1.509
227941.0,119.391,7.90167e-09,2.09754e-14,1.49547
235294.0,119.391,6.82744e-09,1.48883e-14,1.48335
242647.0,119.391,6.03173e-09,1.15332e-14,1.47389
250000.0,119.391,5.39977e-09,9.4098e-15,1.46613
